player_name,salary_2526
Stephen Curry,59606817.0
Nikola Jokic,55224526.0
Joel Embiid,55224526.0
Kevin Durant,54708608.0
Anthony Davis,54126450.0
Jimmy Butler,54126450.0
Jayson Tatum,54126450.0
G. Antetokounmpo,54126450.0
K. Towns,53142264.0
Jaylen Brown,53142264.0
Devin Booker,53142264.0
LeBron James,52627153.0
Paul George,51666090.0
Kawhi Leonard,50000000.0
Zach LaVine,47499660.0
Trae Young,46394100.0
Lauri Markkanen,46394100.0
Donovan Mitchell,46394100.0
Cade Cunningham,46394100.0
Evan Mobley,46394100.0
Jamal Murray,46394100.0
Luka Doncic,45999660.0
Pascal Siakam,45550512.0
T. Haliburton,45550512.0
Anthony Edwards,45550512.0
Domantas Sabonis,42336000.0
OG Anunoby,39568966.0
Darius Garland,39446090.0
Zion Williamson,39446090.0
Ja Morant,39446090.0
James Harden,39182693.0
Scottie Barnes,38661700.0
Franz Wagner,38661700.0
Michael Porter,38333050.0
S. Gilgeous-Alexander,38333050.0
Brandon Ingram,38095238.0
LaMelo Ball,37958760.0
Tyrese Maxey,37958760.0
De'Aaron Fox,37096620.0
Bam Adebayo,37096620.0
Desmond Bane,36725670.0
Kyrie Irving,36566002.0
Khris Middleton,35086419.0
Jaren Jackson Jr,35000000.0
Rudy Gobert,35000000.0
Jalen Suggs,35000000.0
Jalen Brunson,34944001.0
Alperen Sengun,33944954.0
Jalen Green,33333333.0
I. Quickley,32500000.0
Jrue Holiday,32400000.0
Jerami Grant,32000001.0
Jordan Poole,31848215.0
Tyler Herro,31000000.0
Julius Randle,30864198.0
Dejounte Murray,30801103.0
K. Porzingis,30731707.0
CJ McCollum,30666666.0
Jalen Johnson,30000000.0
I. Hartenstein,28500000.0
Andrew Wiggins,28223215.0
Derrick White,28100000.0
RJ Barrett,27705357.0
Anfernee Simons,27678571.0
Devin Vassell,27500000.0
Terry Rozier,26643031.0
Tobias Harris,26634146.0
John Collins,26580000.0
Draymond Green,25892857.0
Deandre Ayton,25550814.0
Nicolas Claxton,25541760.0
Myles Turner,25318251.0
Fred VanVleet,25000000.0
Miles Bridges,25000000.0
Josh Giddey,25000000.0
Trey Murphy,25000000.0
Mikal Bridges,24900000.0
DeMar DeRozan,24570000.0
Jaden McDaniels,24393104.0
De'Andre Hunter,23303571.0
Aaron Gordon,22841455.0
Kyle Kuzma,22560605.0
Damian Lillard,22516603.0
Jonathan Kuminga,22500000.0
Dillon Brooks,22124110.0
K. Caldwell-Pope,21621500.0
Naz Reid,21551724.0
Nikola Vucevic,21481481.0
Cameron Johnson,21057065.0
Norman Powell,20482758.0
Jarrett Allen,20000000.0
Jakob Poeltl,19500000.0
Josh Hart,19472240.0
Bradley Beal,19383010.0
Jusuf Nurkic,19375000.0
Collin Sexton,19175000.0
Harrison Barnes,19000000.0
Malik Monk,18797619.0
Santiago Aldama,18485916.0
Rui Hachimura,18259259.0
Alex Caruso,18102100.0
Ivica Zubac,18102000.0
Andrew Nembhard,18102000.0
Zach Collins,18080496.0
Patrick Williams,18000000.0
Keldon Johnson,18000000.0
Kevin Huerter,17991071.0
Luguentz Dort,17222222.0
Grayson Allen,16875000.0
Duncan Robinson,16834692.0
Klay Thompson,16666667.0
B. Bogdanovic,16020000.0
Max Strus,15936452.0
Terance Mann,15500000.0
Paolo Banchero,15334769.0
N. Alexander-Walker,15161800.0
Isaiah Stewart,15000000.0
Onyeka Okongwu,15000000.0
Jonathan Isaac,15000000.0
Marcus Smart,14786855.0
Daniel Gafford,14386320.0
Deni Avdija,14375000.0
PJ Washington,14152174.0
Steven Adams,14130434.0
Dennis Schroeder,14104000.0
Caris LeVert,14104000.0
Obi Toppin,14000000.0
Corey Kispert,13975000.0
Herb Jones,13937574.0
Austin Reaves,13937574.0
Cooper Flagg,13825920.0
Chet Holmgren,13731368.0
Josh Green,13666667.0
Grant Williams,13645500.0
Bobby Portis,13445754.0
Kelly Olynyk,13445122.0
V. Wembanyama,13376695.0
Robert Williams,13285713.0
